daerah,tahun,ump
JAWA TENGAH,1997,113000
JAWA TENGAH,1998,130000
JAWA TENGAH,1999,153000
JAWA TENGAH,2000,185000
JAWA TENGAH,2001,245000
JAWA TENGAH,2002,314500
JAWA TENGAH,2003,340400
JAWA TENGAH,2004,365000
JAWA TENGAH,2005,390000
JAWA TENGAH,2006,450000
JAWA TENGAH,2007,500000
JAWA TENGAH,2008,547000
JAWA TENGAH,2009,575000
JAWA TENGAH,2010,660000
JAWA TENGAH,2011,675000
JAWA TENGAH,2012,765000
JAWA TENGAH,2013,830000
JAWA TENGAH,2014,910000
JAWA TENGAH,2015,910000
JAWA TENGAH,2016,910000
JAWA TENGAH,2017,1367000
JAWA TENGAH,2018,1486065
JAWA TENGAH,2019,1605396
JAWA TENGAH,2020,1742015
JAWA TENGAH,2021,1798979
JAWA TENGAH,2022,1813011
